
Opening Error Output File (MD2ERROR.TXT) on Thu Jan 09 16:46:56.330, 2003


columns = 40, rows = 40
col_vstep = 102.564102, row_vstep = 102.564102
col_tstep=6.538462, row_tstep=6.538462
num_vertices = 1600, num_polys = 3042
Vertex 189: V[974.358948, 54.901962, -1589.743652], T[189.615387, 26.153847]
Vertex 190: V[1076.923096, 71.372551, -1589.743652], T[196.153854, 26.153847]
Vertex 191: V[1179.487183, 60.392162, -1589.743652], T[202.692307, 26.153847]
Vertex 192: V[1282.051270, 32.941177, -1589.743652], T[209.230774, 26.153847]
Vertex 193: V[1384.615356, 8.235294, -1589.743652], T[215.769241, 26.153847]
Vertex 194: V[1487.179443, 0.000000, -1589.743652], T[222.307693, 26.153847]
Vertex 195: V[1589.743530, 0.000000, -1589.743652], T[228.846161, 26.153847]
Vertex 196: V[1692.307617, 0.000000, -1589.743652], T[235.384613, 26.153847]
Vertex 197: V[1794.871826, 0.000000, -1589.743652], T[241.923080, 26.153847]
Vertex 198: V[1897.435913, 0.000000, -1589.743652], T[248.461548, 26.153847]
Vertex 199: V[2000.000000, 0.000000, -1589.743652], T[255.000000, 26.153847]
Vertex 200: V[-2000.000000, 2.745098, -1487.179443], T[0.000000, 32.692307]
Vertex 201: V[-1897.435913, 5.490196, -1487.179443], T[6.538462, 32.692307]
Vertex 202: V[-1794.871826, 13.725491, -1487.179443], T[13.076923, 32.692307]
Vertex 203: V[-1692.307739, 27.450981, -1487.179443], T[19.615385, 32.692307]
Vertex 204: V[-1589.743652, 52.156864, -1487.179443], T[26.153847, 32.692307]
Vertex 205: V[-1487.179443, 82.352943, -1487.179443], T[32.692307, 32.692307]
Vertex 206: V[-1384.615356, 101.568634, -1487.179443], T[39.230770, 32.692307]
Vertex 207: V[-1282.051270, 93.333336, -1487.179443], T[45.769234, 32.692307]
Vertex 208: V[-1179.487183, 63.137260, -1487.179443], T[52.307693, 32.692307]
Vertex 209: V[-1076.923096, 38.431374, -1487.179443], T[58.846153, 32.692307]
Vertex 210: V[-974.359009, 32.941177, -1487.179443], T[65.384613, 32.692307]
Vertex 211: V[-871.794861, 52.156864, -1487.179443], T[71.923080, 32.692307]
Vertex 212: V[-769.230774, 71.372551, -1487.179443], T[78.461540, 32.692307]
Vertex 213: V[-666.666687, 65.882355, -1487.179443], T[85.000000, 32.692307]
Vertex 214: V[-564.102539, 38.431374, -1487.179443], T[91.538467, 32.692307]
Vertex 215: V[-461.538452, 13.725491, -1487.179443], T[98.076927, 32.692307]
Vertex 216: V[-358.974365, 2.745098, -1487.179443], T[104.615387, 32.692307]
Vertex 217: V[-256.410278, 5.490196, -1487.179443], T[111.153847, 32.692307]
Vertex 218: V[-153.846161, 21.960785, -1487.179443], T[117.692307, 32.692307]
Vertex 219: V[-51.282059, 54.901962, -1487.179443], T[124.230774, 32.692307]
Vertex 220: V[51.282043, 98.823532, -1487.179443], T[130.769226, 32.692307]
Vertex 221: V[153.846146, 131.764709, -1487.179443], T[137.307693, 32.692307]
Vertex 222: V[256.410248, 134.509811, -1487.179443], T[143.846161, 32.692307]
Vertex 223: V[358.974365, 96.078438, -1487.179443], T[150.384613, 32.692307]
Vertex 224: V[461.538452, 46.666668, -1487.179443], T[156.923080, 32.692307]
Vertex 225: V[564.102539, 10.980392, -1487.179443], T[163.461548, 32.692307]
Vertex 226: V[666.666626, 0.000000, -1487.179443], T[170.000000, 32.692307]
Vertex 227: V[769.230774, 2.745098, -1487.179443], T[176.538467, 32.692307]
Vertex 228: V[871.794861, 13.725491, -1487.179443], T[183.076935, 32.692307]
Vertex 229: V[974.358948, 30.196081, -1487.179443], T[189.615387, 32.692307]
Vertex 230: V[1076.923096, 41.176472, -1487.179443], T[196.153854, 32.692307]
Vertex 231: V[1179.487183, 35.686275, -1487.179443], T[202.692307, 32.692307]
Vertex 232: V[1282.051270, 19.215687, -1487.179443], T[209.230774, 32.692307]
Vertex 233: V[1384.615356, 5.490196, -1487.179443], T[215.769241, 32.692307]
Vertex 234: V[1487.179443, 0.000000, -1487.179443], T[222.307693, 32.692307]
Vertex 235: V[1589.743530, 0.000000, -1487.179443], T[228.846161, 32.692307]
Vertex 236: V[1692.307617, 0.000000, -1487.179443], T[235.384613, 32.692307]
Vertex 237: V[1794.871826, 0.000000, -1487.179443], T[241.923080, 32.692307]
Vertex 238: V[1897.435913, 0.000000, -1487.179443], T[248.461548, 32.692307]
Vertex 239: V[2000.000000, 0.000000, -1487.179443], T[255.000000, 32.692307]
Vertex 240: V[-2000.000000, 0.000000, -1384.615356], T[0.000000, 39.230770]
Vertex 241: V[-1897.435913, 0.000000, -1384.615356], T[6.538462, 39.230770]
Vertex 242: V[-1794.871826, 8.235294, -1384.615356], T[13.076923, 39.230770]
Vertex 243: V[-1692.307739, 35.686275, -1384.615356], T[19.615385, 39.230770]
Vertex 244: V[-1589.743652, 85.098045, -1384.615356], T[26.153847, 39.230770]
Vertex 245: V[-1487.179443, 142.745102, -1384.615356], T[32.692307, 39.230770]
Vertex 246: V[-1384.615356, 175.686279, -1384.615356], T[39.230770, 39.230770]
Vertex 247: V[-1282.051270, 170.196091, -1384.615356], T[45.769234, 39.230770]
Vertex 248: V[-1179.487183, 129.019623, -1384.615356], T[52.307693, 39.230770]
Vertex 249: V[-1076.923096, 79.607849, -1384.615356], T[58.846153, 39.230770]
Vertex 250: V[-974.359009, 46.666668, -1384.615356], T[65.384613, 39.230770]
